wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,price
98.4,176.2,65.6,52.0,2714,146,3.62,3.5,9.3,116,4800,24,30,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11549.0
107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15580.0
100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13295.0
95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12629.0
108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18150.0
94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9980.0
95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7788.0
98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8495.0
98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116,4800,24,30,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11199.0
93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7129.0
93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6695.0
86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6479.0
100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9.0,88,5500,25,31,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12290.0
109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22625.0
98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116,4800,24,30,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9989.0
102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11248.0
96.0,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11048.0
97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9.0,85,5250,27,34,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8195.0
104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12940.0
94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11595.0
89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32528.0
96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9279.0
102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10698.0
95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70,4800,30,37,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7198.0
115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31600.0
93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6795.0
100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13499.0
93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7053.0
99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17450.0
86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6855.0
104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15690.0
113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32250.0
96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9895.0
97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9549.0
99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13950.0
95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7.0,145,5000,19,24,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12764.0
99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15250.0
97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7775.0
94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7349.0
94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5499.0
104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18280.0
95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70,4800,38,47,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7738.0
96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6989.0
109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21485.0
96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7895.0
91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17199.0
107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17950.0
107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16900.0
110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,36880.0
94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70,4800,29,34,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8058.0
98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10595.0
96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9095.0
97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23.0,52,4800,37,46,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7775.0
88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13495.0
95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12964.0
114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16695.0
98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10245.0
95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62,4800,35,39,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5348.0
99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18399.0
96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12945.0
120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40960.0
110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25552.0
109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23.0,106,4800,26,27,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22470.0
102.0,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,36000.0
103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8921.0
96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7295.0
95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62,4800,27,32,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7898.0
95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10945.0
104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15985.0
93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6229.0
99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12170.0
105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18920.0
